Vin Diesel,"An overnight action-film sensation who intrigued audiences when he seemingly emerged from nowhere in the summer of 2001, Vin Diesel actually made his first mark on the movie business as a filmmaker. His first two independent films screened at the Cannes and Sundance Film Festivals after which the hulking, clean-shaven actor had a breakthrough role as imposing antihero Riddick in the cult-favorite sci-fi film ""Pitch Black"" (2000). He was quickly snapped up by Hollywood and transformed into a movie star with high-octane hits ""The Fast and the Furious"" (2001) and ""xXx"" (2002). Diesel found further box-office success with the Disney comedy ""The Pacifier"" (2005) and went on to receive decent reviews for his dramatic performance in ""Find Me Guilty"" (2006), but audiences were generally reluctant to accept him in anything but sequels to his signature action films. The hype that surrounded the actor's rush to stardom eventually gave way to a period of career stagnation, but he bounced back in a big way with his prominent return for the 2009 sequel ""Fast & Furious"" and its reliably popular later installments, including the super-sized ""Fast & Furious 6."""
Michael Rooker,"Michael Rooker's harrowing turn in ""Henry: Portrait of a Serial Killer"" (1986) minted him as an in-demand character actor specializing in intense and often dangerous characters in ""Mississippi Burning"" (1988) and ""JFK"" (1991), but he would not achieve true mainstream stardom until the 2010s with exuberant and even sympathetic performances on ""The Walking Dead"" (AMC, 2010- ) and in the Marvel Films cult favorite ""Guardians of the Galaxy"" (2014). Born in Jasper, Alabama on April 6, 1955, Michael Rooker relocated to Chicago, Illinois with his mother and eight siblings after the divorce of his parents. There, his family struggled to make ends meet and put him and his brothers and sisters through school. Initially, Rooker viewed the Marines as his career of choice, but after landing roles in productions, he shifted his focus to acting. He gained entry to the prestigious Goodman School of Drama, and then made a name in local theater productions. Bit roles in television and film productions lensed in the Windy City soon followed, with his breakthrough, ""Henry: Portrait of a Serial Killer,"" coming in 1986. Directed in stark, realistic tones by Chicago filmmaker John McNaughton, the indie horror-drama followed Rooker's brooding, monstrous loner - based on real-life serial killer Henry Lee Lucas - as he cut a swath of death through the underbelly of a rotting industrial city. His unnerving performance - equally vulnerable and menacing - earned Rooker an Independent Spirit Award nomination and the attention of Hollywood casting agents, who tapped him for a wide variety of projects. Many of his early roles were in the vein of ""Henry,"" like a brutish Klan member in Alan Parker's ""Mississippi Burning"" and a psychopathic husband in ""Sea of Love"" (1989). But he soon added more sympathetic roles to his growing c.v., including an assistant district attorney that challenged Kevin Costner's Jim Garrison in Oliver Stone's ""JFK"" (1991) and Tom Cruise's racing rival turned friend in ""Days of Thunder"" (1991). He soon settled into a string of character turns that tapped his imposing physicality - Rooker held a black belt in martial arts - in order to provide believable support to such veteran action stars as Sylvester Stallone in ""Cliffhanger"" (1993), Kurt Russell in ""Tombstone"" (1993), Chow-Yun Fat in ""The Replacement Killers"" (1998) and Arnold Schwarzenegger in ""The Sixth Day"" (2000). But he also remained a consistent presence in dramas, most notably as Jena Malone's supportive uncle in Anjelica Huston's ""Bastard Out of Carolina"" (Showtime, 1996), and even the occasional comedy like Kevin Smith's ""Mallrats"" (1996). As he entered into his third decade as an actor in the late '90s and 2000s, Rooker remained extraordinarily busy with both feature and television appearances; though many of these were unremarkable horror or suspense projects for the direct-to-video or -cable market, a few stood out from the pack, including Walter Hill's ""Undisputed"" (2002) and ""Slither"" (2006), an amusing horror comedy directed by ""Scooby-Doo"" (2002) and ""Dawn of the Dead"" (2004) writer James Gunn. Rooker would go on to become one of Gunn's repertory players, appearing in nearly all of his directorial projects, including the violent comic book spoof ""Super"" 2010), while also enjoying something of a comeback as repentant redneck Merle Dixon on AMC's hit horror series ""The Walking Dead."" In 2014, Gunn cast Rooker as the blue-skinned intergalactic bounty hunter Yondu Udonta in ""Guardians of the Galaxy,"" an adaptation of a relatively obscure Marvel Comics title. The film was an unqualified critical and box office success, and led to an even more popular sequel, ""Guardians of the Galaxy Vol. 2"" (2017), which provided Rooker with what was arguably his most affecting on-screen moment when he confessed his fatherly love for Chris Pratt's hero, Peter Quill, seconds before his death. The success of both ""Guardians"" films reignited Rooker's film and television career, and led to his casting in such high-profile projects as the third season of HBO's ""True Detective"" (2014- ), Blumhouse Pictures' horror revamp of ""Fantasy Island"" (2020), the ninth entry in the ""Fast & Furious"" franchise (2020) and ""The Suicide Squad"" (2021), which marked Gunn's writing and directing debut for DC Films."
Chris Evans,"Actor Chris Evans began his acting career in typical fashion, but it was his rapid rise to stardom which was unusual. Bitten by the acting bug in the first grade, Evans started out appearing in school plays and theater camp; from there it was a quick jump to local community theater, and later, an internship for a casting office. Once Evans made friends with a few agents on the job, it was a straight shot to television and blockbuster features. One of the more talented of the fair-haired, pretty-boy actors to emerge in the early years of the new millennium, Evans scored with roles in a succession of high-profile releases. His breakthrough came in 2005 when he was tapped to play the role of the Human Torch in director Tim Story's adaptation of the Marvel Comics classic ""The Fantastic Four"" and its subsequent sequel, ""Fantastic Four: Rise of the Silver Surfer"" (2007). By the time he starred in ""Scott Pilgrim vs. The World"" (2010) and as Captain America, one of the central pillars of the Marvel Cinematic Universe in films including ""Captain America: The First Avenger"" (2011), ""Avengers: Age of Ultron"" (2015) and ""Captain America: Civil War"" (2016), Evans was a star assured of accomplishing even greater things. Simultaneously, his work starring in and directing romantic drama ""Before We Go"" (2014) and starring in family drama ""Gifted"" (2017) showed off his non-superhero range."
Scarlett Johansson,"Scarlett Johansson moved from being an indie darling to one of the most recognizable actresses in the world thanks to her standing as a member of Marvel's ""The Avengers"" (2012). A native of Manhattan, she began studying acting as a child and made her screen debut at the age of nine in ""North"" (1994). The actress played the daughter of John Ritter in the Rob Reiner comedy. Similarly, she was cast as Sean Connery's daughter in the drama ""Just Cause"" (1995). The actress earned her first starring role playing opposite Aleksa Palladino in ""Manny & Lo"" (1996) about a pair of sisters running away from foster care. She was featured in director Eric Schaeffer's ""If Lucy Fell"" (1996) and ""Fall"" (1997). She had roles as well in the broad comedy ""Home Alone 3"" (1997) and Robert Redford's ""The Horse Whisperer"" (1998). Johansson began establishing her indie credentials when she teamed with Thora Birch for Terry Zwigoff's dark comedy ""Ghost World"" (2001). After a supporting role in the action comedy ""Eight Legged Freaks"" (2002), the actress began her march towards stardom in earnest. Director Sofia Coppola cast her as the disillusioned young woman who hangs out with Bill Murray's jaded actor during a trip to Tokyo in ""Lost in Translation"" (2003). She followed with a role as the muse to Colin Firth's Johannes Vermeer in ""The Girl with a Pearl Earring"" (2003). The following year she starred with future ""Avengers"" co-star Chris Evans in ""The Perfect Score"" (2004) and teamed with John Travolta in ""A Love Song for Bobby Long"" (2004). She would add roles opposite Helen Hunt in ""A Good Woman"" (2004) and as Dennis Quaid's daughter in ""In Good Company"" (2004). Woody Allen cast the actress as the lead in his ""Match Point"" (2005), and Michael Bay did likewise for his thriller ""The Island"" (2005). She would work with Allen again when he cast her alongside Hugh Jackman as a journalism student investigating a serial killer. She continued to work at an impressive clip, starring in ""The Black Dahlia"" (2006), ""The Prestige"" (2006), ""The Nanny Diaries"" (2007), and ""The Other Boleyn Girl"" (2008) in succession. Allen again used the actress, this time partnered with Rebecca Hall and Javier Bardem for ""Vicky Cristina Barcelona"" (2008). The actress also began mixing in Broadway performances, earning a Tony for her role opposite Liev Schreiber in ""A View from the Bridge."" She went from drama to blockbuster, though, when she agreed to play former assassin Natasha Romanoff, aka Black Widow, in the Marvel Cinematic Universe. Johansson made her debut as the character in the Robert Downey Jr. vehicle ""Iron Man 2"" (2010) and brought the character to fruition fully in ""The Avengers."" Outside of the superhero world, she starred with Matt Damon in ""We Bought a Zoo"" (2011) and portrayed actress Janet Leigh in ""Hitchcock"" (2012). Actor Joseph Gordon-Levitt cast her in his directorial debut ""Don Jon"" (2013). Even though she didn't appear on screen, Johansson gained notice for voicing a virtual assistant that Joaquin Phoenix forms an unhealthy bond with in Spike Jonze's ""Her"" (2013). She continued her trend of working with strong directors when she co-starred in Jon Favreau's ""Chef"" (2014). The Marvel world soon beckoned, however, and she returned to playing Black Widow for ""Captain America: The Winter Soldier"" (2014) and ""Avengers: Age of Ultron"" (2015). Having proven her physical prowess in the superhero films, she starred as a genetically altered woman in Luc Besson's thriller ""Lucy"" (2014). She would later join the ensemble cast of the Coen Brothers' Hollywood comedy ""Hail, Caesar!"" (2016) and starred in the live-action remake of the anime classic ""Ghost in the Shell"" (2017). She also starred with Kate McKinnon and Ilana Glazer in the comedy ""Rough Night"" (2017). Her run as Black Widow reached a whole new level with ""Captain America: Civil War"" (2016), ""Avengers: Infinity War"" (2018), and ""Avengers: Endgame"" (2019). The three films would combine to take in more than $5-billion dollars at the box office worldwide. She gained positive reviews for her role opposite Adam Driver in ""Marriage Story"" (2019) playing an actress going through a divorce. She also appeared in Taika Waititi's inventive ""Jojo Rabbit"" (2019). After appearing as Natasha Romanoff alongside a variety of other superheroes, Johansson's character was finally given a stand-alone film with ""Black Widow"" (2020)."
Sebastian Stan,"Some actors are blessed with good looks, and Sebastian Stan was definitely one of those. However, across numerous roles over his career, which began in the early 2000s, he also showed tremendous emotional and physical range, making him more than just a pretty face. He showed poise in his varied roles, whether kicking back with Captain America and Black Widow, dealing with the drama of privileged teenagers, or bringing The Mad Hatter to modern times. Born in Romania in 1982, Stan lived there with his mother until they moved to New York in 1994. He was taken by the stage at a young age, appearing in numerous school productions before eventually attending Rutgers University's Mason Gross School of the Arts for acting. While still attending school, Stan got his professional start on ""Law & Order"" (NBC 1990-2010) in 2003. He also appeared in a few independent films, most notably ""Tony n' Tina's Wedding"" (2004) and ""Red Doors"" (2005). Graduating from Rutgers, he almost immediately filmed the drama ""The Architect"" (2006) and the supernatural thriller ""The Covenant"" (2006). His first breakthrough came with a recurring role on the teen drama ""Gossip Girl"" (CW 2007-2012), followed by a small role in Jonathan Demme's family drama ""Rachel Getting Married"" (2008). He then joined the cast of the short-lived alternate-reality drama ""Kings"" (NBC 2009). The disappointment of that series' swift cancellation was tempered by key supporting roles in the critically-acclaimed drama ""Black Swan"" (2010) and the cult-favorite comedy ""Hot Tub Time Machine"" (2010). After he appeared as Captain America's sidekick Bucky Barnes in ""Captain America: The First Avenger"" (2011), Stan co-starred in the Washington D.C.-based miniseries ""Political Animals"" (USA 2012) and the film ""Gone"" (2012). He also appeared as The Mad Hatter in several episodes of the fantasy ""Once Upon a Time"" (ABC 2011- ) before reprising his role as Bucky in ""Captain America: The Winter Soldier"" (2014)."
Anthony Mackie,"Actor Anthony Mackie rose to prominence with powerful turns on the New York stage in acclaimed productions like ""Up Against the Wind"" and ""Talk."" His performances eventually brought him to Hollywood, where he impressed in his debut as a formidable foe to Eminem in ""8 Mile"" (2002). Mackie soon graduated to supporting roles and the occasional lead for major directors like Spike Lee with ""She Hate Me"" (2004) and Clint Eastwood with ""Million Dollar Baby"" (2005), while maintaining an interest in independent product like ""Half Nelson"" (2005) and ""The Hurt Locker"" (2008). The depth and strength of his talents in these projects and many others, including the much-anticipated Notorious B.I.G. biopic ""Notorious"" (2009) signified that Mackie was among the best actors working in film and stage in the early millennium. His move into the Marvel Cinematic Universe as Falcon in ""Captain America: The Winter Soldier"" (2014) and ""Avengers: Age of Ultron"" (2015) solidified his position as one of Hollywood's most well-rounded actors."
Don Cheadle,"Absolutely engaging and immensely talented, actor Don Cheadle rightfully earned his reputation as one of his generation's most versatile and committed performers. After years of thankless guest appearances on TV dramas and sitcoms, Cheadle gained attention with the role of the fastidious hotel manager of ""The Golden Palace"" (CBS, 1992-93), a spin-off from the beloved sitcom, ""The Golden Girls"" (CBS, 1985-1992). The chameleon-like Cheadle broke out with an acclaimed performance in Carl Franklin's crime thriller ""Devil in a Blue Dress"" (1995) and continued the streak with remarkable work in highly-lauded films like ""Boogie Nights"" (1997) and ""Out of Sight"" (1998). He officially made Hollywood's A-list as one of Danny Ocean's crack team of con men in Steven Soderbergh's ""Ocean's Eleven"" (2001), but it was his performance as real-life hotel manager Paul Rusesabagina in ""Hotel Rwanda"" (2004) that earned Cheadle the most effusive critical praise of his career. He played an integral role in the Oscar-winning ensemble drama ""Crash"" (2005) prior to turning in a tour de force performance in the radio DJ biopic ""Talk to Me"" (2007). In addition to the hugely successful sequels to ""Ocean's Eleven,"" the actor was frequently seen in such big-budget productions as the superhero blockbuster sequel ""Iron Man 2"" (2010) and related films in the Marvel Cinematic Universe, including ""Avengers: Age of Ultron"" (2015) and ""Captain America: Civil War"" (2016). He later returned to television as the star of the highly-regarded cable comedy ""House of Lies"" (Showtime, 2012-16) and made his feature directing debut with the impressionistic biopic ""Miles Ahead"" (2016), in which he also starred as mercurial jazz icon Miles Davis. Cheadle's ability to virtually disappear into any role kept him at the very top of Hollywood's list of ""go to"" actors."
Benedict Cumberbatch,"One of the most well-respected British thespians of his generation, Benedict Cumberbatch may have taken the classic route to acting fame: spouting off Shakespeare at drama school, followed by BBC roles and eventually films, but his type of fame is decidedly 21st century. Cumberbatch is beloved by a very devoted cadre of fans, who line the stranger corners of the internet with all sorts of fan art and memes dedicated to their favorite actor. From Oscar nominated prestige dramas to Marvel superhero tentpole blockbusters, there was no limit to Cumberbatch's range, one might even call him a leading man disguised as an eccentric character actor. Born on July 19. 1976 in London to actors Timothy Carlton and Wanda Ventham, Cumberbatch came from literal royalty: his third cousin sixteen times removed was Richard III. While away at boarding school, Cumberbatch became interested in acting. He made his stage debut at the age of 12, playing Titania, Queen of the Fairies, in a school production of ""A Midsummer Night's Dream."" Before university, Cumberbatch took a gap year to teach English at a Tibetan monastery, which began a lifetime of studying Buddhist philosophy. After earning his masters in Classical Acting at the London Academy of Music and Dramatic Art (LAMDA), Cumberbatch began working on the stage. His breakthrough in the UK came when he was cast as Stephen Hawking in the miniseries ""Hawking"" (BBC, 2004), soon followed by an acclaimed role in the film ""Amazing Grace"" (2006). Cumberbatch next earned his first lead role, in the miniseries ""The Last Enemy"" (BBC, 2008), before landing the part that would make him a cause celebrae on both sides of the pond: Sherlock Holmes. ""Sherlock"" (BBC/PBS, 2012-) was a thoroughly modern take on Arthur Conan Doyle's classic sleuth: Cumberbatch's Holmes was acerbic and dangerous, and with Martin Freeman's Watson as his foil, Cumberbatch got to delightfully chew the scenery. His performance in the third season netted him an Emmy for Outstanding Lead Actor in a Miniseries or a Movie. Speaking of movies, Cumberbatch's next big role was as a lovesick closeted spy hunting down a mole in Tomas Alfredsson's acclaimed take on the John le Careé classic ""Tinker Tailor Soldier Spy"" (2011). Thanks to his growing online fandom, Cumberbatch soon found himself on the radar of major filmmakers casting big tentpole projects: for Peter Jackson he lended his voice to the villainous dragon Smaug across three films: ""The Hobbit; An Unexpected Journey"" (2012), ""The Hobbit: The Desolation of Smaug"" (2013), and ""The Hobbit: The Battle of the Five Armies"" (2014), while also taking on the role of the legendary sci-fi heavy, Khan, for JJ Abrams's ""Star Trek Into Darkness"" (2013). For his turn as Alan Turing, inventor of the modern computer who was tormented by British law for his homosexuality, in the drama ""The Imitation Game"" (2014), Cumberbatch received an Oscar nomination for Best Actor. This also lead to Cumberbatch signing an open letter, published in The Guardian on January 31, 2015, asking the British government to pardon all gay and bisexual men who were convicted under the same defunct ""indecency"" laws as Alan Turing. Cumberbatch was appointed a Commander of the Order of the British Empire (CBE) in 2015 for his services on behalf of the arts and charity. For his next role, Cumberbatch took on the titular role of ""Doctor Strange"" (2016) in Marvel's most psychedelic superhero adventure yet. He would reprise the role for ""Avengers: Infinity War"" (2018) and ""Avengers: Endgame"" (2019). Cumberbatch earned another Emmy nomination for his lead role in the miniseries ""Patrick Melrose"" (HBO, 2018), before taking things full circle to the beginning of his career by taking the job of president of LAMDA, his old alma mater. Cumberbatch could next be seen in Sam Mendes' World War I drama ""1917"" (2019)."
Chiwetel Ejiofor,"With a disarming façade and subtle intensity, British actor Chiwetel Ejiofor quietly embarked upon a film career after several successful stage performances with a noticeable supporting role as an interpreter in Steven Spielberg's historical drama, ""Amistad"" (1997). From there, Ejiofor was able to carve out an impressive career in a short amount of time, though most audiences would have been hard-pressed to place the name or face. But he did earn high critical praise, particularly for his low-key performance in Stephen Frears' gritty urban drama, ""Dirty Pretty Things"" (2002). Though he earned several small awards for the role, Ejiofor remained a relative unknown in the United States. He sought to change that with roles in the popular British romantic comedy ""Love Actually"" (2003), Woody Allen's tragicomedy ""Melinda and Melinda"" (2004), and by playing a sassy drag queen in ""Kinky Boots"" (2005), which earned him his first Golden Globe nomination. Ejiofor graduated to bigger studio films, supporting Denzel Washington in both ""Inside Man"" (2006) and ""American Gangster"" (2007), while delivering a fine turn as the leader of a rebel group in the dystopian thriller ""Children of Men"" (2006), all of which illustrated that it was only a matter of time before he became a household name."
Rachel McAdams,"Canadian actress Rachel McAdams first came to the attention of U.S. audiences playing a pair of über-bitchy teen queens in both ""The Hot Chick"" (2004) and ""Mean Girls"" (2004). Thanks to those rather harsh characters, audiences were understandably surprised by her effectively heartwarming performances in the sentimental Nicholas Sparks romance ""The Notebook"" (2004) and as a likeable girl-next-door in the comedy smash ""Wedding Crashers"" (2005). The sometimes blonde, sometimes brunette, sometimes pink-haired actress enjoyed roles just as unpredictable as her appearance, delivering all of them with the same sparkling panache as her flair for personal style. Her romances with actors Ryan Gosling, Josh Lucas and Michael Sheen fascinated the press and fans alike, proving the actress' appeal extended beyond the screen. After turning to horror for the compelling ""Red Eye"" (2005), McAdams threw moviegoers for a loop yet again with starring roles in the retro thriller ""Married Life"" (2008) and in an adaptation of the best-selling novel ""The Traveler's Wife"" (2008), before playing a junior reporter in the political thriller ""State of Play"" (2009). That same year, she co-starred in the studio blockbuster ""Sherlock Holmes"" (2009) and later reprised her role in the sequel, ""Sherlock Holmes: A Game of Shadows"" (2011), while starring opposite Owen Wilson in Woody Allen's ""Midnight in Paris"" (2011), starring in the second season of cable drama ""True Detective"" (HBO 2014- ), and receiving an Academy Award nomination for her work in the ensemble drama ""Spotlight"" (2015). Thanks to wide-ranging performances and an utterly likable onscreen persona, McAdams kept audiences on their toes in a variety of films."
Benedict Wong,"A regular fixture in both British TV and American cinema, prolific character actor Benedict Wong carved out a career playing parts on both sides of the law before landing his most imposing role as Kublai Khan in historical epic ""Marco Polo"" (Netflix, 2014-). Born in Eccles, Greater Manchester to Hong Kong-born parents in 1971, Wong studied Performing Arts at Salford College before making his on-screen debut in the ""Small Metal Jacket"" episode of anthology series ""Screenplay"" (BBC2, 1986-1993). Following one-off appearances in the likes of gentle comedy ""Last of the Summer Wine"" (BBC1, 1973-2010), medical drama ""Cardiac Arrest"" (BBC1, 1994-96) and detective show ""Cracker"" (ITV, 1993-2006), Wong landed his first recurring role as DC Frankie Li in Lynda La Plante's ""Supply & Demand"" (ITV, 1997-98). Wong stuck with the same profession when he was cast as David Chiu for nine episodes of long-running police drama ""The Bill"" (ITV, 1984-2010), and went onto add fantasy miniseries ""Arabian Nights"" (BBC, 2000) and hitman comedy ""Kiss Kiss Bang Bang"" (2001) to his resume before making his first Hollywood appearance as a sniper in the espionage thriller ""Spy Game"" (2001). Wong then showcased his comic skills with roles as Sean Lock's naive flatmate Errol in cult sitcom ""15 Storeys High"" (BBC3, 2002-04) and gay theatre nurse Terry in surreal hospital-based ""TLC"" (BBC2, 2002) before returning to more dramatic fare, playing mortuary assistant Guo Yi in illegal immigrant tale ""Dirty Pretty Things"" (2002), Pete Cheng in Paul Abbott's political thriller ""State of Play"" (BBC1, 2003) and a medic in Michael Winterbottom's sci-fi love story ""Code 46"" (2003). Following minor roles in ensemble drama ""On A Clear Day"" (2005) and Winterbottom's film-within-a-film ""A Cock & Bull Story"" (2005), Wong played frazzled navigator Trey in Danny Boyle's space epic ""Sunshine"" (2007) and assistant Ed Gore in ""Frankenstein"" (ITV, 2007), starred as the mute Chinese gardener Kung Sang in big-screen comedy ""Grow Your Own"" (2007) and appeared as financial guru William Kwan in the adaptation of Belgian comic book ""The Heir Apparent: Largo Winch"" (2008). After venturing into children's TV to play the villainous Li in ""Spirit Warriors"" (CBBC, 2010), Wong landed minor roles in neo-noir ""Shanghai"" (2010), Aung San Suu Kyi biopic ""The Lady"" (2011) and spy spoof ""Johnny English Reborn"" (2011), as well as voicing world-famous pianist Lang Lang in live-action/animation hybrid ""The Flying Machine"" (2011). Following his performance as Vietnamese drug dealer Vincent in gritty drama ""Top Boy"" (Channel 4, 2011-) Wong worked with Ridley Scott, playing ship pilot Ravel in sci-fi horror ""Prometheus"" (2012), and appeared as mobsters in Jason Statham vehicle ""Redemption"" (2013), superhero sequel ""Kick-Ass 2"" (2013) and James Corden's black comedy ""The Wrong Mans"" (BBC2, 2014-). Wong then landed arguably his most high-profile role when he was cast as Kublai Khan, the founder of the Yuan Dynasty, in big-budget 13th Century epic ""Marco Polo"" (Netflix, 2014-). Between seasons of that series, Wong co-starred with Matt Damon in the science fiction hit ""The Martian"" (2016) and Benedict Cumberbatch in the Marvel Comics thriller ""Doctor Strange"" (2016)."
Mads Mikkelsen,"An intense presence in international film since the late 1990s, actor Mads Mikkelsen enjoyed considerable popularity in his native Denmark with turns as brooding, often violent men on both sides of the law in ""Pusher"" (1996) and on the television series ""Rejseholdet (Unit One)"" (DR1, 2000-04) before leaping to stardom in America as men of action in ""Casino Royale"" (2006) and ""Clash of the Titans"" (2010). Despite his flinty, often taciturn screen image, Mikkelsen also excelled in comedies like ""The Green Butchers"" (2003), as well as more sympathetic turns in the Oscar-nominated ""After the Wedding"" (2006). His performance as the icy terrorist Le Chiffre in the James Bond thriller ""Casino Royale"" (2006) brought him to the attention of Hollywood, which cast him largely in period action features like ""Titans"" and ""The Three Musketeers"" (2011). A Best Actor Award win at the 2012 Cannes Film Festival as a man haunted by child abuse allegations in ""The Hunt"" (2012) underscored his standing as one of Europe's most popular leading men. His subsequent casting as the iconic serial killer Hannibal Lecter on the TV series ""Hannibal"" (NBC, 2013-15) also highlighted an acting career on a skyrocketing trajectory."
Tilda Swinton,"Tilda Swinton was an Academy Award-winning British actress who achieved widespread praise for her daring roles in acclaimed films like ""Adaptation"" (2002), ""We Need to Talk About Kevin"" (2011), and ""Michael Clayton"" (2007). Born into a privileged family in London (her father's Scottish roots trace all the way back to the Middle Ages), Swinton attended various boarding schools as a young girl, which she found isolating and lonely. When it came time to attend college, Swinton chose the University of Cambridge, where she would go on to earn a degree in social and political sciences. It was at Cambridge that Swinton first became involved in acting. She began appearing in plays while studying at Cambridge, and after graduation joined the prestigious Royal Shakespeare Company. Swinton made her debut with the Royal Shakespeare Company by appearing in ""Measure for Measure."" Swinton continued honing her acting craft on the London stage throughout the 1980s, but by the end of the decade she began transitioning into film acting. It was during this period that Swinton appeared in a number of experimental films by the English director Derek Jarman. These films included ""Caravaggio"" (1986), ""The Last of England"" (1988), and ""The Garden"" (1990). Swinton continued acting in independent films throughout the 90s, and although many of these films were not widely seen by the public, she consistently earned plaudits from critics. At the turn of the century, with over a decade of acting experience behind her, Swinton began making the transition into more mainstream films. She appeared in award-winning films like ""Adaptation"" and ""Broken Flowers"" (2005) during this period, as well as the big budget action film ""Constantine"" (2005). Then in 2007 she played an unscrupulous lawyer in the Tony Gilroy-directed legal thriller ""Michael Clayton."" Her supporting role in the film earned Swinton her first Oscar. In the years that followed her role in ""Michael Clayton,"" Swinton continued wowing both critics and audiences with her wide-ranging roles in films like ""We Need to Talk About Kevin,"" ""Trainwreck"" (2015), ""A Bigger Splash"" (2015), and the Wes Anderson animated film ""Isle of Dogs"" (2018). 2018 was also the year Swinton appeared alongside Dakota Johnson in the fantasy horror film ""Suspiria"" (2018), which was helmed by the Italian director Luca Guadagnino, who previously earned an Oscar nod for directing the 2017 romance drama ""Call Me By Your Name"" (2017)."
Chris Hemsworth,"Tall, muscular and exceptionally handsome, Australian actor Chris Hemsworth became a star in the U.S. with a series of well-received genre films. He was a household name in his native country while starring on the popular drama series, ""Home and Away"" (7 Network, 1988- ), playing an opinionated student navigating his way through high school in a seaside town. He quickly became a sci-fi sensation across the pond with a brief but memorable role in the J.J. Abrams reboot of the worldwide phenomenon ""Star Trek"" (2009) as Capt. James T. Kirk's ill-fated father. But it was not until he landed the lead role in the film version of the comic book hero ""Thor"" (2011) - beating out his younger brother, fellow heartthrob Liam, in the process - that Hemsworth truly flexed his muscles, establishing himself as one of the most charismatic young actors of the moment. Lionsgate films quickly capitalized on Hemsworth's popularity by releasing the long-delayed horror feature ""The Cabin in the Woods"" (2012), co-written by Joss Whedon. Ironically, it was Whedon who later directed the young star in the superhero blockbuster ""The Avengers"" (2012), bringing together ""Thor"" and Marvel Studios' other franchise films. Along with his continuing screen presence as the Nordic superhero, Hemsworth expanded with range with films ranging from the thriller ""Blackhat"" (2015), Ron Howard's sailing drama ""In the Heart of the Sea"" (2015), and two fantasy films based on fairy tales, ""Snow White and the Huntsman"" (2012) and ""The Huntsman: Winter's War"" (2016). As talented as he was attractive, Hemsworth was without a doubt, a leading man to watch."
Mark Ruffalo,"Like many other actors who were tagged ""best of a generation,"" Mark Ruffalo's roots were in theater and independent film where his honest, open character approach was applauded. His breakout stage role in Kenneth Lonergan's acclaimed ""This Is Our Youth"" led Lonergan to give Ruffalo the lead in his film directorial debut ""You Can Count on Me"" (2000), which earned countless festival awards and had critics buzzing about the little-known actor's subtle, compelling performance as a cerebral but aimless young adult with an arrest record and a pregnant teenage girlfriend. Hollywood came courting, but struggled with a tidy niche in which to put the darkly handsome actor; first offering him small but effective character roles as ""conflicted"" types in big budget thrillers like ""Collateral"" (2004) before unsuccessfully making the understated actor into a bland leading man in romantic comedies like ""Just Like Heaven"" (2005). Ruffalo eventually found an appropriate arena somewhere between the multiplex and the art house, favored by character-driven directors like Jane Campion, David Fincher, Steven Zaillian and eventually Martin Scorsese - all of whom capitalized on the actor's talent for believably disappearing into complex, empathetic characters."
